1,0,112.36
1,1,143.89
1,2,129.43
1,3,115.57
1,4,101.86
1,5,99.36
1,6,120.00
1,7,135.72
1,8,99.53
1,9,121.22
1,10,115.68
1,11,122.73
1,12,145.65
1,13,144.27
1,14,140.79
1,15,146.39
1,16,122.23
1,17,112.65
1,18,112.35
1,19,100.65
1,20,99.75
1,21,140.32
1,22,153.26
1,23,180.99
2,0,112.36
2,1,143.89
2,2,129.43
2,3,115.57
2,4,101.86
2,5,99.36
2,6,120.00
2,7,135.72
2,8,99.53
2,9,121.22
2,10,115.68
2,11,122.73
2,12,145.65
2,13,144.27
2,14,140.79
2,15,146.39
2,16,122.23
2,17,112.65
2,18,112.35
2,19,100.65
2,20,99.75
2,21,140.32
2,22,153.26
2,23,180.99
3,0,112.36
3,1,143.89
3,2,129.43
3,3,115.57
3,4,101.86
3,5,99.36
3,6,120.00
3,7,137.72
3,8,99.53
3,9,121.22
3,10,115.68
3,11,122.73
3,12,145.65
3,13,144.27
3,14,140.79
3,15,146.39
3,16,122.23
3,17,112.65
3,18,112.35
3,19,100.65
3,20,99.75
3,21,140.32
3,22,153.26
3,23,180.99
